#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
40.832	415	40.857	523
40.882	408	40.908	512
40.933	400	40.959	503
40.983	394	41.009	493
41.035	387	41.060	486
41.085	384	41.110	479
41.136	379	41.161	474
41.186	378	41.212	470
41.237	379	41.263	468
41.287	381	41.313	469
41.339	383	41.364	473
41.389	387	41.414	477
41.440	393	41.466	484
41.490	398	41.516	491
41.541	405	41.567	499
41.592	411	41.617	509
41.643	418	41.668	519
41.693	423	41.719	528
41.744	429	41.770	535
41.794	435	41.820	541
41.846	437	41.871	546
41.896	440	41.921	550
41.947	440	41.973	551
41.997	437	42.023	549
42.048	435	42.074	546
42.098	430	42.124	541
42.150	427	42.175	535
42.200	420	42.225	525
42.251	413	42.277	518
42.301	407	42.327	510
42.352	401	42.378	500
42.403	394	42.428	493
42.454	390	42.479	485
42.504	386	42.530	479
42.555	383	42.581	474
42.605	382	42.631	471
42.657	382	42.682	471
42.707	383	42.732	472
42.758	386	42.784	475
42.808	389	42.834	481
42.859	393	42.885	487
42.909	400	42.935	494
42.961	405	42.986	503
43.011	412	43.036	512
43.062	417	43.088	520
43.112	423	43.138	529
43.163	428	43.189	536
43.214	433	43.239	541
43.265	435	43.290	546
43.315	437	43.341	547
43.366	437	43.392	548
43.416	436	43.442	547
43.468	433	43.493	544
43.518	429	43.543	538
43.569	424	43.595	530
43.619	419	43.645	523
43.670	414	43.696	514
43.720	407	43.746	507
43.772	402	43.797	498
43.822	395	43.847	490
43.873	390	43.899	483
43.923	387	43.949	479
43.974	385	44.000	474
44.025	382	44.050	473
44.076	383	44.101	472
44.126	384	44.152	476
44.177	387	44.203	477
44.227	390	44.253	484
44.279	396	44.304	491
44.329	401	44.354	499
44.380	407	44.406	507
44.430	412	44.456	516
44.481	418	44.507	523
44.531	423	44.557	531
44.583	427	44.608	536
44.634	430	44.658	543
44.684	433	44.710	545
44.735	435	44.760	546
44.785	435	44.811	548
44.837	434	44.861	545
44.887	431	44.912	541
44.938	428	44.963	533
44.988	422	45.014	528
45.039	419	45.064	520
45.090	413	45.115	512
45.141	407	45.165	503
45.191	403	45.217	496
45.242	397	45.267	489
45.292	391	45.318	483
45.344	389	45.368	478
45.394	388	45.419	475
45.445	385	45.469	476
45.495	385	45.521	475
45.546	385	45.571	477
45.596	389	45.622	481
45.648	392	45.672	488
45.698	395	45.723	494
45.749	400	45.774	501
45.799	405	45.825	510
45.850	412	45.875	516
45.901	416	45.926	525
45.952	422	45.976	532
