#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.021	406	29.047	505
29.071	423	29.097	491
29.123	437	29.148	479
29.173	450	29.198	472
29.224	461	29.250	464
29.274	467	29.300	461
29.325	472	29.351	459
29.376	472	29.401	462
29.427	468	29.452	468
29.477	462	29.502	479
29.528	451	29.554	489
29.578	439	29.604	501
29.629	422	29.655	514
29.680	408	29.705	528
29.731	392	29.756	541
29.781	376	29.807	552
29.832	364	29.858	562
29.882	352	29.908	568
29.934	343	29.959	576
29.984	338	30.009	575
30.035	337	30.061	575
30.085	339	30.111	571
30.136	345	30.162	564
30.187	354	30.212	554
30.238	365	30.263	541
30.288	380	30.314	528
30.339	394	30.365	515
30.389	409	30.415	501
30.440	424	30.466	489
30.491	438	30.516	478
30.542	450	30.567	469
30.592	460	30.618	464
30.643	466	30.669	461
30.693	469	30.719	460
30.745	469	30.770	465
30.795	465	30.820	470
30.846	459	30.872	480
30.896	447	30.922	491
30.947	435	30.973	504
30.998	422	31.023	517
31.049	405	31.074	530
31.099	391	31.125	543
31.150	376	31.176	555
31.200	364	31.226	562
31.251	353	31.277	572
31.302	345	31.327	575
31.353	340	31.378	575
31.403	340	31.429	573
31.454	343	31.480	569
31.504	348	31.530	559
31.556	357	31.581	550
31.606	368	31.631	538
31.657	379	31.683	524
31.707	396	31.733	512
31.758	411	31.784	499
31.809	425	31.834	487
31.860	439	31.885	476
31.910	451	31.936	471
31.961	460	31.987	464
32.011	466	32.037	462
32.062	468	32.088	464
32.113	467	32.138	468
32.164	463	32.189	474
32.214	455	32.240	483
32.265	444	32.291	494
32.315	433	32.341	507
32.367	418	32.392	520
32.417	402	32.442	532
32.468	388	32.494	544
32.518	376	32.544	556
32.569	362	32.595	564
32.620	353	32.645	571
32.671	346	32.696	575
32.721	344	32.747	574
32.772	343	32.798	572
32.822	345	32.848	565
32.874	352	32.899	558
32.924	360	32.949	547
32.975	372	33.000	536
33.025	385	33.051	522
33.076	399	33.102	509
33.126	413	33.152	496
33.178	427	33.203	485
33.228	440	33.253	475
33.279	450	33.305	468
33.329	458	33.355	463
33.380	462	33.406	461
33.431	464	33.456	463
33.482	463	33.507	468
33.532	459	33.558	477
33.583	452	33.609	486
33.633	442	33.659	498
33.685	430	33.710	512
33.735	417	33.760	524
33.786	404	33.811	538
33.836	389	33.862	549
33.887	377	33.913	560
33.937	365	33.963	567
33.989	356	34.014	572
34.039	349	34.064	574
34.090	345	34.116	572
34.140	345	34.166	569
34.191	348	34.217	561
34.242	354	34.267	554
34.293	363	34.318	542
34.343	374	34.369	531
34.394	387	34.420	518
34.444	399	34.470	505
34.496	413	34.521	492
34.546	427	34.571	482
34.597	439	34.622	473
34.647	449	34.673	469
34.698	457	34.724	464
34.748	460	34.774	465
34.800	462	34.825	465
34.850	461	34.875	470
34.901	456	34.927	478
34.951	449	34.977	490
35.002	439	35.028	501
35.053	427	35.078	512
35.104	413	35.129	525
35.154	400	35.180	538
35.205	387	35.231	549
35.255	374	35.281	558
35.307	363	35.332	566
35.357	357	35.382	571
35.408	351	35.434	574
35.458	348	35.484	572
35.509	349	35.535	568
35.559	352	35.585	561
35.611	358	35.636	553
35.661	367	35.686	541
35.712	378	35.738	529
35.762	390	35.788	517
35.813	404	35.839	504
35.864	415	35.889	493
35.915	428	35.940	482
35.965	439	35.991	473
36.016	449	36.042	467
36.066	454	36.092	464
36.118	458	36.143	463
36.168	458	36.193	466
36.219	456	36.245	471
36.269	451	36.295	481
36.320	444	36.346	490
36.370	434	36.396	503
36.422	423	36.447	515
36.472	410	36.497	528
36.523	398	36.549	540
36.573	386	36.599	551
36.624	375	36.650	561
36.675	365	36.700	568
36.726	357	36.751	571
36.776	354	36.802	573
36.827	351	36.853	571
36.877	351	36.903	566
36.929	355	36.954	559
36.979	362	37.004	550
37.030	371	37.056	539
37.080	381	37.106	527
37.131	393	37.157	514
37.181	405	37.207	502
37.233	417	37.258	490
37.283	430	37.308	480
37.334	440	37.360	473
37.384	446	37.410	468
37.435	454	37.461	465
37.486	456	37.511	467
37.537	457	37.562	468
37.587	454	37.613	475
37.638	448	37.664	483
37.688	441	37.714	493
37.740	431	37.765	504
37.790	420	37.815	517
37.841	407	37.867	529
37.891	395	37.917	542
37.942	383	37.968	551
37.992	374	38.018	561
38.044	365	38.069	567
38.095	359	38.119	570
38.145	354	38.171	571
38.196	353	38.221	569
38.246	355	38.272	564
38.298	360	38.322	557
38.348	367	38.373	548
38.399	375	38.424	537
38.449	385	38.475	526
38.500	397	38.525	512
38.551	409	38.576	500
38.602	419	38.626	489
38.652	431	38.678	480
38.703	441	38.728	473
38.753	447	38.779	468
38.805	452	38.829	466
38.855	454	38.880	467
38.906	454	38.930	471
38.956	450	38.982	478
39.007	445	39.032	486
39.057	437	39.083	494
39.109	428	39.133	506
39.159	416	39.184	520
39.210	405	39.235	530
39.260	393	39.286	543
39.311	382	39.336	551
39.362	372	39.387	560
39.413	364	39.437	566
39.463	358	39.489	569
39.514	357	39.539	570
39.564	355	39.590	566
39.616	359	39.640	562
39.666	363	39.691	555
39.717	369	39.741	547
39.767	379	39.793	536
39.818	389	39.843	522
39.868	400	39.894	511
39.920	411	39.944	499
39.970	422	39.995	488
40.021	432	40.046	480
40.071	440	40.097	473
40.122	446	40.147	468
40.173	450	40.198	466
40.224	450	40.248	468
40.274	451	40.300	472
40.325	448	40.350	479
40.375	441	40.401	487
40.427	434	40.451	497
40.477	425	40.502	509
40.528	413	40.552	521
40.578	403	40.604	533
40.629	392	40.654	543
40.679	382	40.705	553
40.731	373	40.755	560
40.781	366	40.806	566
40.832	361	40.857	568
40.882	359	40.908	569
40.933	357	40.958	566
40.984	362	41.009	561
41.035	366	41.060	553
41.085	372	41.111	544
41.136	383	41.162	533
41.186	392	41.212	522
41.238	402	41.263	510
41.288	413	41.313	499
41.339	423	41.365	488
41.389	432	41.415	479
41.440	440	41.466	473
41.490	445	41.516	469
41.542	448	41.567	468
41.592	450	41.617	470
41.643	448	41.669	474
41.693	444	41.719	479
41.744	437	41.770	489
41.795	430	41.820	500
41.846	420	41.871	511
41.896	411	41.922	521
41.947	400	41.973	532
41.997	390	42.023	543
42.049	380	42.074	553
42.099	372	42.124	561
42.150	367	42.176	565
42.200	362	42.226	567
42.251	361	42.277	567
42.301	361	42.327	564
42.353	365	42.378	559
42.403	369	42.428	552
42.454	377	42.480	542
42.504	386	42.530	532
42.555	396	42.581	520
42.606	405	42.631	509
42.657	416	42.682	497
42.707	424	42.733	488
42.758	434	42.784	479
42.808	439	42.834	474
42.860	445	42.885	470
42.910	448	42.935	470
42.961	448	42.987	471
43.011	445	43.037	476
43.062	440	43.088	481
43.112	434	43.138	490
43.164	426	43.189	500
43.214	417	43.239	512
43.265	408	43.291	523
43.315	398	43.341	534
43.366	388	43.392	546
43.417	380	43.442	553
43.468	372	43.493	560
43.518	368	43.544	565
43.569	364	43.595	567
