#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
24.458	447	24.484	466
24.508	448	24.534	485
24.559	448	24.585	503
24.610	448	24.635	521
24.661	449	24.686	537
24.711	447	24.737	550
24.762	447	24.788	558
24.812	448	24.838	563
24.864	448	24.889	564
24.914	448	24.939	561
24.965	448	24.991	554
25.015	448	25.041	544
25.066	448	25.092	528
25.116	448	25.142	513
25.168	447	25.193	493
25.218	448	25.243	475
25.269	448	25.295	457
25.319	447	25.345	440
25.370	448	25.396	424
25.421	448	25.446	412
25.472	448	25.497	403
25.522	448	25.548	398
25.573	448	25.599	398
25.623	448	25.649	400
25.675	447	25.700	408
25.725	448	25.750	418
25.776	448	25.802	433
25.826	448	25.852	450
25.877	448	25.903	468
25.927	448	25.953	486
25.979	448	26.004	505
26.029	448	26.054	522
26.080	448	26.106	537
26.130	447	26.156	548
26.181	448	26.207	557
26.232	448	26.257	560
26.283	448	26.308	562
26.333	448	26.359	558
26.384	447	26.410	548
26.434	448	26.460	538
26.486	449	26.511	524
26.536	448	26.561	508
26.587	448	26.613	491
26.637	448	26.663	473
26.688	448	26.714	455
26.738	448	26.764	439
26.790	447	26.815	424
26.840	447	26.865	413
26.891	446	26.917	405
26.941	449	26.967	400
26.992	447	27.018	400
27.043	448	27.068	404
27.094	447	27.119	412
27.145	447	27.170	423
27.195	447	27.221	438
27.246	448	27.271	454
27.297	447	27.322	471
27.348	449	27.372	489
27.398	447	27.424	506
27.449	447	27.474	523
27.499	448	27.525	537
27.551	448	27.575	547
27.601	449	27.626	555
27.652	448	27.676	560
27.702	448	27.728	559
27.753	447	27.778	554
27.803	448	27.829	546
27.855	448	27.879	535
27.905	449	27.930	521
27.956	448	27.981	506
28.006	447	28.032	488
28.057	448	28.082	471
28.108	448	28.133	454
28.159	448	28.183	438
28.209	447	28.235	424
28.260	448	28.285	415
28.310	448	28.336	406
28.362	448	28.386	403
28.412	448	28.437	404
28.463	447	28.487	408
28.513	447	28.539	414
28.564	448	28.589	427
28.614	448	28.640	442
28.666	447	28.690	455
28.716	448	28.741	473
28.767	448	28.792	491
28.817	448	28.843	507
28.868	449	28.893	524
28.919	448	28.944	537
28.970	446	28.994	546
29.020	449	29.046	554
29.071	448	29.096	558
29.121	448	29.147	556
29.173	448	29.197	551
29.223	448	29.248	545
29.274	449	29.298	533
29.324	447	29.350	518
29.375	448	29.400	504
29.425	448	29.451	486
29.477	446	29.501	469
29.527	447	29.552	452
29.578	449	29.603	438
29.628	448	29.654	424
29.679	447	29.704	415
29.730	446	29.755	408
29.781	447	29.805	404
29.831	448	29.857	406
29.882	446	29.907	410
29.932	447	29.958	418
29.984	447	30.008	428
30.034	448	30.059	443
30.085	448	30.109	459
30.135	447	30.161	476
30.186	447	30.212	493
30.236	448	30.262	510
30.288	448	30.313	524
30.338	449	30.363	536
30.389	448	30.415	545
30.439	448	30.465	553
30.490	448	30.516	555
30.541	448	30.566	553
30.592	447	30.617	549
30.642	447	30.668	543
30.693	448	30.719	531
30.743	447	30.769	516
30.795	448	30.820	500
30.845	448	30.870	483
30.896	448	30.922	468
30.946	448	30.972	453
30.997	448	31.023	438
31.047	447	31.073	426
31.099	448	31.124	417
31.149	448	31.174	410
31.200	448	31.226	408
31.250	447	31.276	408
31.301	448	31.327	412
31.352	448	31.377	422
31.403	448	31.428	433
31.453	448	31.479	447
31.504	447	31.530	462
31.554	448	31.580	478
31.606	447	31.631	493
31.656	447	31.681	510
31.707	448	31.733	524
31.757	448	31.783	535
31.808	448	31.834	546
31.858	448	31.884	551
31.910	448	31.935	554
31.960	449	31.985	550
32.011	448	32.037	547
32.061	448	32.087	538
32.112	448	32.138	527
32.163	448	32.188	512
32.214	447	32.239	498
32.264	448	32.290	482
32.315	447	32.341	466
32.365	448	32.391	451
32.417	448	32.442	437
32.467	449	32.492	426
32.518	448	32.544	417
32.568	447	32.594	410
32.619	448	32.645	410
32.669	447	32.695	411
32.721	448	32.746	417
32.771	447	32.796	425
32.822	448	32.848	434
32.872	448	32.898	450
32.923	446	32.949	463
32.974	448	32.999	480
33.025	447	33.050	496
33.075	448	33.101	511
33.126	448	33.152	524
33.176	446	33.202	536
33.228	449	33.253	543
33.278	447	33.303	549
33.329	448	33.355	550
33.379	448	33.405	548
33.430	448	33.456	543
33.481	448	33.506	535
