#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
493.038490	2.117203	0.048160
494.097090	2.117198	0.048284
495.155688	2.117197	0.048472
496.214287	2.117181	0.048662
497.272869	2.117156	0.048826
498.331443	2.117130	0.048966
499.389999	2.117139	0.049110
500.448582	2.117131	0.049280
501.507130	2.117075	0.049440
502.565657	2.117031	0.049626
503.624161	2.116999	0.049838
504.682656	2.116989	0.050000
505.741150	2.116988	0.050172
506.799644	2.116971	0.050352
507.858121	2.116975	0.050522
508.916619	2.116970	0.050698
509.975091	2.116918	0.050878
511.033537	2.116900	0.051058
512.091991	2.116889	0.051242
513.150426	2.116842	0.051432
514.208833	2.116814	0.051602
515.267240	2.116793	0.051776
516.325626	2.116789	0.051956
517.384029	2.116772	0.052134
518.442398	2.116768	0.052324
519.500797	2.116731	0.052506
520.559129	2.116663	0.052686
521.617460	2.116652	0.052892
522.675781	2.116646	0.053086
523.734106	2.116608	0.053260
524.792389	2.116562	0.053438
525.850668	2.116571	0.053616
526.908960	2.116588	0.053812
527.967256	2.116534	0.053992
529.025494	2.116470	0.054176
530.083726	2.116464	0.054368
531.141958	2.116375	0.054544
532.200101	2.116297	0.054722
533.258255	2.116404	0.054914
534.316505	2.116322	0.055086
535.374577	2.116138	0.055254
536.432643	2.116155	0.055434
537.490732	2.116194	0.055608
538.548837	2.116181	0.055790
539.606913	2.116188	0.055974
540.665025	2.116200	0.056142
541.723113	2.116127	0.056322
542.781152	2.116099	0.056508
543.839212	2.116157	0.056712
544.897309	2.116139	0.056886
545.955351	2.116197	0.057054
547.013506	2.116263	0.057252
548.071614	2.116011	0.057440
549.129517	2.115875	0.057614
550.187489	2.115956	0.057798
551.245473	2.115962	0.057990
552.303451	2.115975	0.058166
553.361448	2.115975	0.058360
554.419426	2.115971	0.058552
555.477419	2.115942	0.058734
556.535368	2.115895	0.058920
557.593314	2.115876	0.059100
558.651244	2.115867	0.059304
559.709181	2.115861	0.059502
560.767105	2.115840	0.059686
561.825021	2.115840	0.059882
562.882945	2.115833	0.060066
563.940854	2.115774	0.060264
564.998719	2.115759	0.060458
566.056613	2.115752	0.060646
567.114471	2.115736	0.060846
568.172349	2.115737	0.061054
569.230208	2.115693	0.061240
570.288042	2.115648	0.061420
571.345856	2.115695	0.061608
572.403737	2.115681	0.061842
573.461537	2.115630	0.062066
574.519367	2.115632	0.062242
575.577169	2.115606	0.062438
576.634973	2.115575	0.062646
577.692744	2.115576	0.062856
578.750549	2.115583	0.063042
579.808327	2.115552	0.063234
580.866101	2.115261	0.063418
581.923588	2.115407	0.063652
582.981508	2.115757	0.063880
584.039345	2.115615	0.064046
585.097123	2.115437	0.064230
586.154782	2.115343	0.064408
587.212466	2.115405	0.064616
588.270187	2.115479	0.064830
589.327945	2.115479	0.065050
590.385666	2.115413	0.065244
591.443358	2.115296	0.065404
592.500962	2.115257	0.065592
593.558615	2.115288	0.065786
594.616250	2.115289	0.065984
595.673904	2.115342	0.066180
596.731592	2.115204	0.066392
597.789108	2.115124	0.066596
598.846716	2.115258	0.066752
599.904366	2.115255	0.066916
600.961971	2.115238	0.067162
602.019604	2.115252	0.067368
603.077223	2.115160	0.067554
604.134764	2.115166	0.067768
605.192389	2.115308	0.067934
606.250072	2.115232	0.068096
607.307621	2.115145	0.068298
608.365217	2.115142	0.068542
609.422763	2.115143	0.068718
610.480360	2.115176	0.068916
611.537939	2.115145	0.069150
612.595505	2.115096	0.069334
613.653035	2.115117	0.069534
614.710622	2.115148	0.069720
615.768183	2.115110	0.069906
616.825732	2.115056	0.070124
617.883239	2.115054	0.070346
618.940786	2.115067	0.070552
619.998306	2.115056	0.070764
621.055842	2.115038	0.070952
622.113344	2.115009	0.071152
623.170851	2.115013	0.071354
624.228357	2.115020	0.071550
625.285871	2.115003	0.071746
626.343360	2.114984	0.071956
627.400855	2.114991	0.072174
628.458351	2.115024	0.072366
629.515879	2.114990	0.072578
630.573341	2.114915	0.072786
631.630794	2.114919	0.072976
632.688260	2.114944	0.073204
633.745738	2.114883	0.073432
634.803143	2.114829	0.073646
635.860567	2.114900	0.073842
636.918043	2.114919	0.074042
637.975486	2.114838	0.074252
639.032881	2.114853	0.074458
640.090339	2.114878	0.074694
641.147759	2.114812	0.074890
642.205151	2.114799	0.075094
643.262558	2.114843	0.075328
644.319994	2.114828	0.075524
645.377386	2.114801	0.075740
646.434795	2.114817	0.075954
647.492203	2.114811	0.076166
648.549606	2.114765	0.076392
649.606968	2.114755	0.076604
650.664361	2.114761	0.076802
651.721729	2.114749	0.077014
652.779110	2.114707	0.077228
653.836436	2.114655	0.077444
654.893765	2.114634	0.077666
655.951070	2.114644	0.077876
657.008409	2.114638	0.078114
658.065708	2.114600	0.078336
659.123009	2.114597	0.078566
660.180305	2.114574	0.078790
661.237583	2.114526	0.078974
662.294831	2.114527	0.079146
663.352110	2.114502	0.079328
664.409333	2.114483	0.079546
665.466593	2.114497	0.079766
666.523830	2.114471	0.079964
667.581064	2.114501	0.080156
668.638331	2.114496	0.080354
669.695560	2.114474	0.080564
670.752805	2.114513	0.080782
671.810073	2.114434	0.080970
672.867239	2.114404	0.081162
673.924477	2.114448	0.081378
674.981687	2.114432	0.081574
676.038909	2.114450	0.081782
677.096137	2.114468	0.081998
678.153377	2.114462	0.082170
679.210599	2.114404	0.082346
680.267781	2.114385	0.082546
681.324984	2.114375	0.082744
682.382156	2.114370	0.082956
683.439354	2.114407	0.083180
684.496563	2.114406	0.083414
685.553760	2.114387	0.083636
686.610950	2.114340	0.083788
687.668100	2.114313	0.083952
688.725263	2.114334	0.084162
689.782434	2.114341	0.084368
690.839604	2.114344	0.084576
691.896778	2.114367	0.084812
692.953971	2.114330	0.085050
694.011108	2.114251	0.085220
695.068222	2.114198	0.085384
696.125306	2.114285	0.085600
697.182507	2.114311	0.085774
698.239617	2.114244	0.085978
699.296751	2.114252	0.086258
700.353869	2.114221	0.086474
701.410972	2.114233	0.086652
702.468102	2.114267	0.086836
703.525239	2.114260	0.087030
704.582362	2.114248	0.087252
705.639487	2.114208	0.087478
706.696570	2.114193	0.087664
707.753680	2.114181	0.087828
708.810751	2.114156	0.088010
709.867836	2.114188	0.088224
710.924939	2.114142	0.088430
711.981978	2.114086	0.088624
713.039025	2.114102	0.088826
714.096080	2.114128	0.089020
715.153153	2.114155	0.089230
716.210235	2.114131	0.089406
