#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
34.191	407	34.216	563
34.241	405	34.267	553
34.292	403	34.317	544
34.343	401	34.368	532
34.394	400	34.418	522
34.444	401	34.470	512
34.495	402	34.520	503
34.545	404	34.571	494
34.597	404	34.621	488
34.647	406	34.672	484
34.698	411	34.723	482
34.748	411	34.774	482
34.799	415	34.824	485
34.849	417	34.875	490
34.901	420	34.925	498
34.951	421	34.976	508
35.002	423	35.027	519
35.052	423	35.078	527
35.103	424	35.128	538
35.154	424	35.179	549
35.205	424	35.229	558
35.255	421	35.281	565
35.306	421	35.331	571
35.356	418	35.382	575
35.408	417	35.432	575
35.458	415	35.483	574
35.509	412	35.534	569
35.559	411	35.585	564
35.610	411	35.635	557
35.660	408	35.686	547
35.712	408	35.736	536
35.762	407	35.787	525
35.813	407	35.838	516
35.863	408	35.889	506
35.914	408	35.939	497
35.965	409	35.990	490
36.016	410	36.040	486
36.066	411	36.092	483
36.117	414	36.142	481
36.167	415	36.193	485
36.219	414	36.243	490
36.269	415	36.294	497
36.320	416	36.345	504
36.370	417	36.396	513
36.421	416	36.447	524
36.471	417	36.497	534
36.523	417	36.548	545
36.573	417	36.598	554
36.624	416	36.650	563
36.674	417	36.700	568
36.725	414	36.751	572
36.776	416	36.801	574
36.827	415	36.852	573
36.877	415	36.903	571
36.928	414	36.954	564
36.978	413	37.004	559
37.030	414	37.055	550
37.080	414	37.105	540
37.131	414	37.157	529
37.181	413	37.207	519
37.232	413	37.258	510
37.283	414	37.308	501
37.334	414	37.359	494
37.384	413	37.409	488
37.435	415	37.461	485
37.485	414	37.511	484
37.536	414	37.562	485
37.587	413	37.612	489
37.638	413	37.663	495
37.688	413	37.714	503
37.739	412	37.765	511
37.789	412	37.815	520
37.841	412	37.866	531
37.891	411	37.916	542
37.942	412	37.968	548
37.992	413	38.018	558
38.043	412	38.069	565
38.094	414	38.119	569
38.145	415	38.170	572
38.195	415	38.220	572
38.246	415	38.272	570
38.296	419	38.322	565
38.347	417	38.373	559
38.398	418	38.423	551
38.449	418	38.474	543
38.499	418	38.525	533
38.550	418	38.576	523
38.600	418	38.626	513
38.652	418	38.677	504
38.702	417	38.727	497
38.753	416	38.779	492
38.803	415	38.829	487
38.854	414	38.880	486
38.905	413	38.930	487
38.956	411	38.981	490
39.006	410	39.031	495
39.057	410	39.083	501
39.107	408	39.133	509
39.158	408	39.184	518
39.209	408	39.234	527
39.260	408	39.285	537
39.310	408	39.336	546
39.361	409	39.387	553
39.411	411	39.437	561
39.463	412	39.488	566
39.513	412	39.538	569
39.564	414	39.590	569
39.614	417	39.640	568
39.665	418	39.691	565
39.716	420	39.741	559
39.767	421	39.792	553
39.817	422	39.843	544
39.868	422	39.894	535
39.918	423	39.944	526
39.969	422	39.995	517
40.020	421	40.045	508
40.071	420	40.096	503
40.122	418	40.147	496
40.172	416	40.198	492
40.223	414	40.248	489
40.274	412	40.299	489
40.325	409	40.349	491
40.375	408	40.401	495
40.426	407	40.451	501
40.476	405	40.502	508
40.528	405	40.552	516
40.578	404	40.603	524
40.629	404	40.654	534
40.679	405	40.705	542
40.730	406	40.755	550
40.780	408	40.806	557
40.832	409	40.856	562
40.882	412	40.907	565
40.933	414	40.958	566
40.983	417	41.009	566
41.034	420	41.059	564
41.085	422	41.110	559
41.136	424	41.160	553
41.186	425	41.212	546
41.237	425	41.262	537
41.287	426	41.313	529
41.339	426	41.363	521
41.389	425	41.414	514
41.440	423	41.465	506
41.490	421	41.516	500
41.541	419	41.566	496
41.591	416	41.617	493
41.643	412	41.667	492
41.693	410	41.718	494
41.744	407	41.769	496
41.794	405	41.820	502
41.845	401	41.870	507
41.896	402	41.921	513
41.947	401	41.971	523
41.997	401	42.023	531
42.048	402	42.073	538
42.098	403	42.124	547
42.150	403	42.174	553
42.200	407	42.225	557
42.251	410	42.276	561
42.301	413	42.327	562
42.352	416	42.377	563
42.403	419	42.428	561
42.454	423	42.478	558
42.504	425	42.529	553
42.555	427	42.580	547
42.605	428	42.631	539
42.656	428	42.681	532
42.707	429	42.732	525
42.758	428	42.782	516
42.808	426	42.834	511
42.859	424	42.884	505
42.909	421	42.935	501
42.961	418	42.985	497
43.011	414	43.036	496
43.062	411	43.087	497
43.112	407	43.138	498
43.163	404	43.189	502
43.214	402	43.239	507
43.265	399	43.290	512
43.315	398	43.340	519
43.366	398	43.392	528
43.416	399	43.442	535
43.467	400	43.493	542
43.518	402	43.543	547
43.569	405	43.594	553
43.619	408	43.645	556
43.670	411	43.696	559
43.720	415	43.746	560
43.772	419	43.797	559
43.822	422	43.847	556
43.873	427	43.899	552
43.923	428	43.949	547
43.974	430	44.000	541
44.025	431	44.050	534
44.076	431	44.101	527
44.126	431	44.151	521
44.177	428	44.203	514
44.227	427	44.253	510
44.278	423	44.304	504
44.329	420	44.354	502
44.380	415	44.405	499
44.430	412	44.456	500
44.481	408	44.507	500
44.531	404	44.557	504
44.583	400	44.608	509
44.633	398	44.658	513
44.684	397	44.710	519
44.734	396	44.760	525
44.785	396	44.811	532
44.836	398	44.861	538
44.887	400	44.912	545
44.937	402	44.963	548
44.988	405	45.014	553
45.038	409	45.064	553
45.089	414	45.115	555
45.140	418	45.165	555
45.191	423	45.216	553
45.241	426	45.267	550
45.292	430	45.318	546
45.342	430	45.368	541
45.394	433	45.419	536
45.444	434	45.469	529
45.495	432	45.521	524
45.545	431	45.571	518
45.596	429	45.622	515
45.647	426	45.672	508
45.698	422	45.723	507
45.748	418	45.774	504
45.799	413	45.825	504
45.849	408	45.875	504
45.900	404	45.926	507
45.951	400	45.976	510
46.002	397	46.027	514
46.052	396	46.078	518
46.103	395	46.129	524
46.153	394	46.179	529
46.205	395	46.230	534
46.255	397	46.280	540
46.306	400	46.332	544
46.356	403	46.382	547
46.407	408	46.433	551
46.458	412	46.483	552
46.509	417	46.534	552
46.559	421	46.585	550
46.610	426	46.636	548
46.660	429	46.686	544
46.711	432	46.737	541
46.762	434	46.787	536
46.813	436	46.838	532
46.863	435	46.889	526
46.914	433	46.940	521
46.964	430	46.990	517
47.016	427	47.041	513
47.066	424	47.091	511
47.117	419	47.143	508
47.167	414	47.193	507
47.218	410	47.244	508
47.269	405	47.294	510
47.320	400	47.345	512
47.370	398	47.396	516
47.421	395	47.447	519
47.471	393	47.497	523
47.523	393	47.548	528
47.573	393	47.598	532
47.624	395	47.649	537
47.674	399	47.700	541
47.725	400	47.751	543
47.775	406	47.801	546
47.827	410	47.852	548
47.877	415	47.902	547
47.928	420	47.954	546
47.978	426	48.004	545
48.029	429	48.055	542
48.080	432	48.105	539
48.131	434	48.156	537
48.181	436	48.207	532
48.232	436	48.258	528
48.282	434	48.308	525
48.334	432	48.359	521
48.384	429	48.409	517
48.435	425	48.460	514
48.485	421	48.511	514
48.536	416	48.562	513
48.586	411	48.612	513
48.638	406	48.663	514
48.688	402	48.713	515
48.739	397	48.765	517
48.789	396	48.815	521
48.840	392	48.866	523
48.891	393	48.916	526
48.942	392	48.967	530
48.992	394	49.018	534
49.043	396	49.069	537
49.093	401	49.119	538
49.145	404	49.170	542
49.195	409	49.220	543
49.246	414	49.271	544
49.296	419	49.322	540
49.347	423	49.373	541
49.397	428	49.423	540
49.449	431	49.474	537
49.499	435	49.524	535
49.550	436	49.576	533
49.600	437	49.626	529
49.651	435	49.677	526
49.702	434	49.727	523
49.753	431	49.778	521
49.803	427	49.829	519
49.854	423	49.880	518
49.904	417	49.930	517
49.956	413	49.981	516
50.006	407	50.031	517
50.057	404	50.083	519
50.107	399	50.133	520
50.158	395	50.184	522
50.208	393	50.234	524
50.260	391	50.285	527
50.310	393	50.335	528
50.361	392	50.387	531
50.411	396	50.437	534
50.462	399	50.488	535
50.513	403	50.538	536
50.564	407	50.589	539
50.614	412	50.640	538
50.665	417	50.691	538
50.715	423	50.741	537
50.767	427	50.792	537
50.817	431	50.842	536
50.868	434	50.894	534
50.918	435	50.944	532
50.969	436	50.995	528
51.019	434	51.045	528
51.071	436	51.096	526
51.121	432	51.146	524
51.172	428	51.198	522
51.222	424	51.248	522
51.273	419	51.299	522
51.324	414	51.349	522
51.375	409	51.400	521
51.425	404	51.451	522
51.476	400	51.502	522
51.526	396	51.552	524
51.578	393	51.603	525
51.628	394	51.653	526
51.679	392	51.705	528
51.729	393	51.755	530
51.780	395	51.806	531
51.830	398	51.856	532
51.882	401	51.907	534
51.932	407	51.957	534
51.983	411	52.009	534
52.033	416	52.059	534
52.084	421	52.110	533
52.135	425	52.160	534
52.186	429	52.211	533
52.236	432	52.262	531
52.287	436	52.313	531
52.337	434	52.363	528
52.389	435	52.414	528
52.439	434	52.464	527
52.490	432	52.516	526
52.540	428	52.566	525
52.591	424	52.617	524
52.641	420	52.667	525
52.693	415	52.718	524
52.744	410	52.768	525
52.794	406	52.820	525
52.845	402	52.870	526
52.895	398	52.921	527
52.947	395	52.971	527
52.997	393	53.022	528
53.048	393	53.073	529
53.098	393	53.124	529
53.149	395	53.174	530
53.200	398	53.225	530
53.251	401	53.275	529
53.301	405	53.327	531
53.352	409	53.377	530
53.402	415	53.428	531
53.454	419	53.478	530
53.504	423	53.529	529
53.555	427	53.579	530
53.605	430	53.631	529
53.656	432	53.681	529
53.706	436	53.732	528
53.758	434	53.782	528
53.808	434	53.833	529
53.859	431	53.884	527
53.909	428	53.935	528
53.960	425	53.985	527
54.011	421	54.036	528
54.062	416	54.086	527
54.112	413	54.138	528
54.163	407	54.188	528
54.213	404	54.239	528
54.265	400	54.289	529
54.315	396	54.340	528
54.366	395	54.390	529
54.416	394	54.442	529
54.467	394	54.492	528
54.517	396	54.543	528
54.569	398	54.593	529
54.619	401	54.644	528
54.670	405	54.695	528
54.720	409	54.746	529
54.771	413	54.796	528
54.822	417	54.847	529
54.873	421	54.897	527
54.923	426	54.949	529
54.974	429	54.999	528
55.024	432	55.050	528
55.076	432	55.100	528
55.126	433	55.151	529
55.177	432	55.201	529
55.227	430	55.253	529
55.278	428	55.303	530
55.328	425	55.354	530
55.380	421	55.404	530
55.430	417	55.455	530
55.481	413	55.506	529
55.531	409	55.557	530
55.582	405	55.607	529
55.633	401	55.658	530
55.684	399	55.709	529
55.734	397	55.760	529
55.785	396	55.811	528
55.835	395	55.861	527
55.887	397	55.912	527
55.937	398	55.962	527
55.988	401	56.014	526
