#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
55.076	448	55.100	493
55.126	447	55.151	490
55.177	448	55.202	487
55.227	447	55.253	483
55.278	448	55.303	479
55.328	447	55.354	476
55.380	447	55.404	471
55.430	447	55.455	468
55.481	448	55.506	467
55.531	447	55.557	464
55.582	447	55.607	466
55.633	447	55.658	466
55.684	448	55.708	467
55.734	447	55.760	468
55.785	448	55.810	472
55.835	445	55.861	475
55.887	448	55.911	478
55.937	447	55.962	482
55.988	448	56.013	485
56.038	446	56.064	490
56.089	448	56.114	491
56.139	447	56.165	496
56.191	448	56.215	497
56.241	448	56.266	497
56.292	447	56.317	498
56.342	448	56.368	497
56.393	447	56.418	496
56.444	447	56.469	494
56.495	448	56.519	491
56.545	448	56.571	489
56.596	448	56.621	484
56.646	447	56.672	481
56.698	447	56.722	479
56.748	447	56.773	475
56.799	447	56.824	472
56.849	447	56.875	470
56.900	448	56.926	468
56.950	448	56.976	467
57.002	447	57.027	468
57.052	447	57.077	465
57.103	447	57.129	469
57.153	447	57.179	471
57.204	447	57.230	473
57.255	448	57.280	476
57.306	448	57.331	479
57.356	448	57.382	482
57.407	448	57.433	486
57.457	446	57.483	489
57.509	448	57.534	492
57.559	448	57.584	495
57.610	447	57.636	496
57.660	447	57.686	496
57.711	447	57.737	496
57.762	448	57.787	495
