#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.302	447	31.327	394
31.353	448	31.378	409
31.403	448	31.429	425
31.454	447	31.480	445
31.504	447	31.530	466
31.556	447	31.581	489
31.606	447	31.631	511
31.657	449	31.682	532
31.707	448	31.733	549
31.758	448	31.784	563
31.808	448	31.834	573
31.860	448	31.885	579
31.910	449	31.935	580
31.961	448	31.987	575
32.011	448	32.037	565
32.062	448	32.088	551
32.113	448	32.138	535
32.164	448	32.189	515
32.214	448	32.240	494
32.265	449	32.291	471
32.315	448	32.341	448
32.367	448	32.392	430
32.417	449	32.442	413
32.468	449	32.494	398
32.518	449	32.544	389
32.569	448	32.595	383
32.619	448	32.645	385
32.671	448	32.696	389
32.721	448	32.746	398
32.772	448	32.798	411
32.822	448	32.848	429
32.873	448	32.899	448
32.924	448	32.949	469
32.975	448	33.000	491
33.025	448	33.051	513
33.076	448	33.102	533
33.126	448	33.152	551
33.178	448	33.203	563
33.228	450	33.253	571
33.279	449	33.305	576
33.329	448	33.355	577
33.380	448	33.406	572
33.430	449	33.456	562
33.482	449	33.507	549
33.532	450	33.557	532
33.583	449	33.609	512
33.633	448	33.659	490
33.684	449	33.710	469
33.735	448	33.760	448
33.786	448	33.811	428
33.836	449	33.862	413
33.887	448	33.913	400
33.937	448	33.963	391
33.989	448	34.014	386
34.039	448	34.064	387
34.090	448	34.116	391
34.140	449	34.166	401
34.191	448	34.217	415
34.241	447	34.267	433
34.293	448	34.318	452
34.343	448	34.368	473
34.394	449	34.420	494
34.444	449	34.470	515
34.495	449	34.521	534
34.547	448	34.571	550
34.597	448	34.622	563
34.648	449	34.673	571
34.698	449	34.724	576
34.749	449	34.774	574
34.800	450	34.825	569
34.851	449	34.875	559
34.901	449	34.927	545
34.952	448	34.977	528
35.002	448	35.028	508
35.054	448	35.078	487
35.104	449	35.129	467
35.155	448	35.179	447
35.205	449	35.231	428
35.256	448	35.281	412
35.306	448	35.332	400
35.358	448	35.382	392
35.408	448	35.433	387
35.459	448	35.484	389
35.509	448	35.535	395
35.560	448	35.585	405
35.611	446	35.636	419
35.662	449	35.686	436
35.712	447	35.738	455
35.763	448	35.788	475
35.813	448	35.839	496
35.865	448	35.889	515
35.915	448	35.940	535
35.966	448	35.990	549
36.016	449	36.042	562
36.067	449	36.092	567
36.117	450	36.143	572
36.169	450	36.193	571
36.219	449	36.244	565
