#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
215.047	27.60	215.298	29.47
215.548	27.60	215.799	29.47
216.049	27.60	216.300	29.47
216.549	27.60	216.800	29.47
217.050	27.60	217.301	29.47
217.551	27.60	217.802	29.47
218.052	27.71	218.303	29.47
218.552	27.71	218.803	29.47
219.053	27.60	219.304	29.47
219.554	27.60	219.805	29.47
220.055	27.50	220.305	29.47
220.555	27.50	220.805	29.47
221.056	27.40	221.306	29.47
221.557	27.40	221.807	29.36
222.058	27.40	222.307	29.14
222.558	27.40	222.808	29.04
223.059	27.40	223.309	28.93
223.560	27.30	223.810	28.82
224.060	27.30	224.310	28.82
224.561	27.30	224.811	28.82
225.062	27.30	225.312	28.82
225.563	27.19	225.813	28.82
226.063	27.30	226.313	28.71
226.564	27.19	226.814	28.71
227.064	27.19	227.315	28.82
227.565	27.19	227.816	28.71
228.065	27.40	228.316	28.71
228.566	27.19	228.817	28.71
229.067	27.19	229.318	28.61
229.568	27.19	229.818	28.61
230.068	27.19	230.319	28.61
230.569	27.19	230.820	28.61
231.070	27.19	231.321	28.61
231.571	27.19	231.821	28.50
232.071	27.09	232.322	28.61
232.572	27.09	232.823	28.50
233.073	27.19	233.323	28.50
233.573	27.19	233.823	28.50
234.074	27.19	234.324	28.50
234.575	27.19	234.825	28.50
235.076	27.19	235.326	28.39
235.576	27.19	235.826	28.39
236.077	27.19	236.327	28.50
236.578	27.19	236.828	28.61
237.079	27.19	237.328	28.39
237.579	27.19	237.829	28.39
238.080	27.19	238.330	28.39
238.581	27.19	238.831	28.50
239.082	27.19	239.331	28.18
239.581	27.09	239.832	28.39
240.082	27.09	240.333	28.39
240.583	27.19	240.834	28.39
241.083	27.19	241.334	28.39
241.584	27.19	241.835	28.39
242.085	27.19	242.336	28.39
242.586	27.19	242.837	28.39
243.086	27.19	243.337	28.50
243.587	27.19	243.838	28.39
244.088	27.19	244.339	28.39
244.589	27.19	244.840	28.39
245.089	27.19	245.340	28.39
245.590	27.19	245.840	28.39
246.091	27.19	246.341	28.29
246.592	27.19	246.841	28.39
247.092	27.19	247.342	28.39
247.593	27.19	247.843	28.39
248.094	27.19	248.344	28.29
248.595	27.19	248.844	28.39
249.095	27.19	249.345	28.29
249.596	27.09	249.846	28.29
250.097	27.19	250.347	28.39
250.597	27.19	250.847	28.29
251.098	27.19	251.348	28.29
251.598	27.19	251.849	28.29
252.099	27.19	252.350	28.18
252.599	27.19	252.850	28.18
253.100	27.09	253.351	28.29
253.601	27.19	253.852	28.29
254.102	27.09	254.352	28.29
254.602	27.30	254.853	28.29
255.103	27.19	255.354	28.29
255.604	26.99	255.855	28.29
256.105	26.88	256.355	28.29
256.605	26.88	256.856	28.29
257.106	26.78	257.357	28.18
257.607	26.78	257.857	28.18
258.107	26.68	258.357	27.97
258.608	26.68	258.858	27.97
259.109	26.68	259.359	27.86
259.610	26.58	259.860	27.76
260.110	26.58	260.360	27.76
260.611	26.58	260.861	27.76
261.112	26.58	261.362	27.76
261.613	26.58	261.862	27.65
262.113	26.58	262.363	27.65
262.614	26.47	262.864	27.54
