#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
260.611	26.99	260.861	27.02
261.112	26.99	261.362	27.12
261.612	26.88	261.862	27.02
262.113	26.88	262.363	27.12
262.614	26.88	262.864	27.12
263.115	26.88	263.364	27.02
263.615	26.78	263.865	27.02
264.115	26.78	264.366	27.12
264.616	26.78	264.867	27.02
265.117	26.78	265.367	27.02
265.617	26.78	265.868	27.02
266.118	26.78	266.369	27.02
266.619	26.78	266.870	27.02
267.119	26.68	267.370	27.02
267.620	26.68	267.871	27.02
268.121	26.68	268.372	27.02
268.622	26.68	268.873	27.02
269.122	26.68	269.373	27.02
269.623	26.68	269.874	27.02
270.124	26.68	270.374	27.02
270.625	26.68	270.874	27.02
271.125	26.58	271.375	27.02
271.626	26.68	271.876	27.02
272.127	26.58	272.377	26.91
272.628	26.68	272.877	26.91
273.128	26.58	273.378	26.91
273.629	26.58	273.879	26.91
274.130	26.58	274.380	26.91
274.631	26.58	274.880	26.91
275.131	26.58	275.381	26.91
275.632	26.58	275.882	26.91
276.132	26.58	276.383	26.91
276.632	26.58	276.883	26.80
277.133	26.47	277.384	26.91
277.634	26.58	277.885	26.80
278.135	26.58	278.386	26.91
278.635	26.47	278.886	26.70
279.136	26.47	279.387	26.59
279.637	26.37	279.888	26.59
280.138	26.27	280.388	26.59
280.638	26.17	280.889	26.49
281.139	26.17	281.390	26.49
281.640	25.96	281.890	26.38
282.141	25.86	282.390	26.38
282.641	25.86	282.891	26.38
283.142	25.86	283.392	26.38
283.643	25.86	283.893	26.38
284.143	25.76	284.393	26.38
284.644	25.76	284.894	26.38
285.145	25.76	285.395	26.28
285.646	25.76	285.896	26.38
286.146	25.76	286.396	26.28
286.647	25.76	286.897	26.38
287.148	25.66	287.398	26.28
287.649	25.66	287.898	26.49
288.148	25.66	288.399	26.38
288.649	25.66	288.900	26.28
289.150	25.56	289.401	26.28
289.651	25.56	289.901	26.28
290.151	25.56	290.402	26.28
290.652	25.66	290.903	26.28
291.153	25.56	291.404	26.28
291.653	25.56	291.904	26.28
292.154	25.66	292.405	26.28
292.655	25.56	292.906	26.38
293.156	25.56	293.407	26.28
293.656	25.56	293.906	26.28
294.157	25.56	294.407	26.28
294.658	25.56	294.908	26.28
295.159	25.56	295.408	26.28
295.659	25.46	295.909	26.28
296.160	25.46	296.410	26.28
296.661	25.46	296.911	26.38
297.162	25.46	297.411	26.28
297.662	25.46	297.912	26.38
298.163	25.46	298.413	26.28
298.664	25.46	298.914	26.28
299.165	25.46	299.414	26.17
299.665	25.25	299.915	26.28
300.165	25.46	300.416	26.28
300.666	25.35	300.917	26.28
301.166	25.35	301.417	26.28
301.667	25.35	301.918	26.28
302.168	25.35	302.419	26.28
302.669	25.35	302.920	26.28
303.169	25.35	303.420	26.28
303.670	25.35	303.921	26.38
304.171	25.35	304.422	26.38
304.672	25.35	304.922	26.28
305.172	25.35	305.423	26.28
305.673	25.25	305.923	26.28
306.174	25.15	306.424	26.17
306.675	25.05	306.924	26.17
307.175	24.95	307.425	26.07
307.676	24.85	307.926	25.96
308.177	24.85	308.427	25.96
308.677	24.75	308.927	25.96
309.178	24.75	309.428	25.96
309.679	24.65	309.929	25.96
